date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:32	24033/24033	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:44:02%20GMT	https://landing.zytheme.com/cobuild/landing-1.html	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/landing-1.html	(from )
14:59:33	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2017:59:31%20GMT	https://landing.zytheme.com/robots.txt		(from )
14:59:33	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225970d46c-47e%22	https://landing.zytheme.com/cobuild/assets/images/favicon/favicon.ico	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/favicon/favicon.ico	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:33	245817/245817	---MCZ	200	added ('OK')	text/css	etag:W/%225af7ecd7-3c039%22	https://landing.zytheme.com/cobuild/assets/css/external.css	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/external.css	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:34	3175/3175	---MCZ	200	added ('OK')	text/css	etag:W/%225ac4c98e-c67%22	https://landing.zytheme.com/cobuild/assets/css/cons.css	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/cons.css	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:34	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%2256549f9c-1d9ac%22	https://landing.zytheme.com/cobuild/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/bootstrap.min.css	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:34	53681/53681	---MCZ	200	added ('OK')	text/css	etag:W/%225af7ed68-d1b1%22	https://landing.zytheme.com/cobuild/assets/css/style.css	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/style.css	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:35	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2017:59:33%20GMT	https://landing.zytheme.com/cobuild/index-2.html	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/index-2.html	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:35	1300/1300	---M--	200	added ('OK')	image/png	etag:%225ad18f93-514%22	https://landing.zytheme.com/cobuild/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/logo/logo-dark.png	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:35	1239/1239	---M--	200	added ('OK')	image/png	etag:%225ad18f0d-4d7%22	https://landing.zytheme.com/cobuild/assets/images/logo/logo-light.png	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/logo/logo-light.png	(from https://landing.zytheme.com/cobuild/landing-1.html)
